ticker,name,city
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,DENİZLİ
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,KOCAELİ
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,KONYA
ADLVY,ADİL VARLIK YÖNETİM A.Ş.,İSTANBUL
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İZMİR
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,İSTANBUL
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,İSTANBUL
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,İSTANBUL
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,İSTANBUL
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,İSTANBUL
AKSFA,AK FAKTORİNG A.Ş.,İSTANBUL
AKFK,AK FİNANSAL KİRALAMA A.Ş.,İSTANBUL
AKM,AK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
AKMEN,AK YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
AKCVR,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,İSTANBUL
AKBNK,AKBANK T.A.Ş.,İSTANBUL
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,İSTANBUL
AKDFA,AKDENİZ FAKTORİNG A.Ş.,İSTANBUL
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,İSTANBUL
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,İSTANBUL
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,ANKARA
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,ANKARA
AKHAN,AKHAN UN FABRİKASI VE TARIM ÜRÜNLERİ GIDA SANAYİ TİCARET A.Ş.,ADANA
ATEKS,AKIN TEKSTİL A.Ş.,İSTANBUL
AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,YALOVA
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,İSTANBUL
AKGRT,AKSİGORTA A.Ş.,İSTANBUL
AKSUE,AKSU ENERJİ VE TİCARET A.Ş.,ISPARTA
AKTVK,AKTİF BANK SUKUK VARLIK KİRALAMA A.Ş.,İSTANBUL
AFB,AKTİF YATIRIM BANKASI A.Ş.,İSTANBUL
AKTIF,AKTİF YATIRIM BANKASI A.Ş.,İSTANBUL
ALCAR,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,İSTANBUL
ALGYO,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
ALARK,ALARKO HOLDİNG A.Ş.,İSTANBUL
ALBRK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,İSTANBUL
ALK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,İSTANBUL
ALCTL,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,İSTANBUL
ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,ANKARA
ALJF,ALJ FİNANSMAN A.Ş.,İSTANBUL
ALKIM,ALKİM ALKALİ KİMYA A.Ş.,İSTANBUL
